"EN-US","FR-CA","ES-US"
"Childhood vaccines are important for my child's health","Les vaccins pour enfants sont importants pour la santé de mon enfant","Las vacunas infantiles son importantes para la salud de mi hijo"
"Childhood vaccines are effective","Les vaccins pour enfants sont efficaces","Las vacunas infantiles son efectivas"
"Having my child vaccinated is important for the health of others in my community","Faire vacciner mon enfant est important pour la santé des autres au sein de ma communauté","Tener a mi hijo vacunado es importante para la salud de los demás en mi comunidad"
"All childhood vaccines offered by the government program in my community are beneficial","Tous les vaccins pour enfants offerts par le programme du gouvernement dans ma communauté sont bénéfiques","Todas las vacunas infantiles que ofrece el programa gubernamental en mi comunidad son beneficiosas"
"New vaccines carry more risks than older vaccines","Les nouveaux vaccins sont plus porteurs de risques que les anciens","Las nuevas vacunas conllevan más riesgos que las vacunas más antiguas"
"The information I receive about vaccines from the vaccine program is reliable and trustworthy","Les renseignements que je reçois concernant les vaccins de la part du programme de vaccination sont fiables et digne de confiance","La información que recibo sobre las vacunas del programa de vacunas es confiable y fidedigna"
"Getting vaccines is a good way to protect my child/children from disease","Faire vacciner mon ou mes enfant(s) est un bon moyen de le(s) protéger contre les maladies","Vacunarse es una buena manera de proteger a mi hijo/hijos de enfermedades"
"Generally I do what my doctor or health care provider recommends about vaccines for my child/children","Généralement, je fais ce que mon médecin ou professionnel de la santé recommande concernant la vaccination de mon ou mes enfant(s)","En general, hago lo que mi médico o proveedor de atención médica recomienda sobre las vacunas para mi hijo o hijos."
"I am concerned about serious adverse effects of vaccines","Je suis concerné par les effets indésirables graves des vaccins","Me preocupan los efectos adversos graves de las vacunas"
"My child/children does or do not need vaccines for diseases that are not common anymore","Mon/mes enfant(s) n’a ou n’ont pas besoin de se faire vacciner contre les maladies qui ne sont plus communes","Mi hijo(s) necesita o no vacunas para enfermedades que ya no son comunes"
